# time, time_amplitude
6.000000000000000000e+01,3.974600655460806408e-04
6.000999999999999801e+01,4.000311490950249739e-04
6.002000000000000313e+01,4.003982111940562185e-04
6.003000000000000114e+01,3.975798355740461617e-04
6.003999999999999915e+01,3.964240908848188066e-04
6.004999999999999716e+01,3.964528910128153330e-04
6.006000000000000227e+01,3.944100065578722870e-04
6.007000000000000028e+01,3.948501211724590862e-04
6.007999999999999829e+01,3.993578615930942657e-04
6.009000000000000341e+01,4.009356710593610157e-04
6.010000000000000142e+01,4.003960441458520331e-04
6.010999999999999943e+01,4.034890482559505987e-04
6.011999999999999744e+01,4.053636046398487701e-04
6.013000000000000256e+01,4.015515368177786969e-04
6.014000000000000057e+01,3.980352541770888612e-04
6.014999999999999858e+01,3.983388887826446833e-04
6.015999999999999659e+01,3.998260694181905868e-04
6.017000000000000171e+01,4.011491840873370124e-04
6.017999999999999972e+01,4.012646974811273507e-04
6.018999999999999773e+01,3.996031685630667190e-04
6.020000000000000284e+01,3.984224282346837719e-04
6.021000000000000085e+01,3.981740144294664105e-04
6.021999999999999886e+01,3.971453628888123766e-04
6.022999999999999687e+01,3.968374188980594510e-04
6.024000000000000199e+01,3.989918965983098808e-04
6.025000000000000000e+01,4.007313118603989780e-04
6.025999999999999801e+01,3.997589518904460268e-04
6.027000000000000313e+01,3.987755970865618639e-04
6.028000000000000114e+01,3.998911074883268707e-04
6.028999999999999915e+01,4.010625314517974357e-04
6.029999999999999716e+01,4.012170217530323089e-04
6.031000000000000227e+01,4.021900715918922688e-04
6.032000000000000028e+01,4.039311570037092472e-04
6.032999999999999829e+01,4.043746250765514879e-04
6.034000000000000341e+01,4.038293065583978877e-04
6.035000000000000142e+01,4.038732403087154322e-04
6.035999999999999943e+01,4.041798795819230377e-04
6.036999999999999744e+01,4.041438407035741762e-04
6.038000000000000256e+01,4.041202273792131685e-04
6.039000000000000057e+01,4.037374116338309036e-04
6.039999999999999858e+01,4.023575054211644443e-04
6.040999999999999659e+01,4.007101161803392517e-04
6.042000000000000171e+01,4.000878557754784012e-04
6.042999999999999972e+01,4.006599797094374240e-04
6.043999999999999773e+01,4.012389639035647093e-04
6.045000000000000284e+01,4.010414826803634361e-04
6.046000000000000085e+01,4.010084633536192605e-04
6.046999999999999886e+01,4.016363908345463958e-04
6.047999999999999687e+01,4.014959177679378499e-04
6.049000000000000199e+01,4.002196994151358857e-04
6.050000000000000000e+01,3.994779451002832688e-04
6.050999999999999801e+01,3.998709562494168679e-04
6.052000000000000313e+01,4.010271368882577627e-04
6.053000000000000114e+01,4.030465406654840121e-04
6.053999999999999915e+01,4.041335478372933129e-04
6.054999999999999716e+01,4.020816366852803317e-04
6.056000000000000227e+01,3.995202614381232085e-04
6.057000000000000028e+01,3.996756788999766526e-04
6.057999999999999829e+01,4.000450049719565717e-04
6.059000000000000341e+01,3.985788515093673210e-04
6.060000000000000142e+01,3.981605179271895762e-04
6.060999999999999943e+01,3.996622545532524016e-04
6.061999999999999744e+01,4.005082762743862297e-04
6.063000000000000256e+01,4.001650607006888480e-04
6.064000000000000057e+01,3.996481756513090965e-04
6.064999999999999858e+01,3.993141607703400804e-04
6.065999999999999659e+01,3.996142676546326285e-04
6.067000000000000171e+01,4.007590129181994314e-04
6.067999999999999972e+01,4.021899306991826061e-04
6.068999999999999773e+01,4.026985870034082283e-04
6.070000000000000284e+01,4.015860961175186212e-04
6.071000000000000085e+01,4.005677730242352286e-04
6.071999999999999886e+01,4.009298987481873188e-04
6.072999999999999687e+01,4.007598252477709332e-04
6.074000000000000199e+01,3.996640514049481022e-04
6.075000000000000000e+01,4.001405282409355320e-04
6.075999999999999801e+01,4.024652725650990342e-04
6.077000000000000313e+01,4.052537091127921985e-04
6.078000000000000114e+01,4.076826231869178454e-04
6.078999999999999915e+01,4.078549416415063887e-04
6.079999999999999716e+01,4.056649589430653328e-04
6.081000000000000227e+01,4.042518642954798062e-04
6.082000000000000028e+01,4.036309705424836027e-04
6.082999999999999829e+01,4.010388048391398241e-04
6.084000000000000341e+01,3.972781184708092670e-04
6.085000000000000142e+01,3.944731336696826927e-04
6.085999999999999943e+01,3.928349865374367576e-04
6.086999999999999744e+01,3.924966880654806676e-04
6.088000000000000256e+01,3.927874102974472951e-04
6.089000000000000057e+01,3.932310609397734265e-04
6.089999999999999858e+01,3.950362219759343007e-04
