# time, time_amplitude
6.000000000000000000e+01,2.983516996383931493e-04
6.000999999999999801e+01,2.956810559816957368e-04
6.002000000000000313e+01,2.950567208997730657e-04
6.003000000000000114e+01,2.974319454876994369e-04
6.003999999999999915e+01,2.988808678492930375e-04
6.004999999999999716e+01,2.980915551381755572e-04
6.006000000000000227e+01,2.982983866099052318e-04
6.007000000000000028e+01,2.995382621810009941e-04
6.007999999999999829e+01,2.988706160436569131e-04
6.009000000000000341e+01,2.969990636287425136e-04
6.010000000000000142e+01,2.962829653951852137e-04
6.010999999999999943e+01,2.963396244245606248e-04
6.011999999999999744e+01,2.972110579315973694e-04
6.013000000000000256e+01,2.993991049915077814e-04
6.014000000000000057e+01,3.001656574513137375e-04
6.014999999999999858e+01,2.997676546463578389e-04
6.015999999999999659e+01,3.028432022944944836e-04
6.017000000000000171e+01,3.062934587131702210e-04
6.017999999999999972e+01,3.035789344471068641e-04
6.018999999999999773e+01,2.991493075544085544e-04
6.020000000000000284e+01,2.994110547133762689e-04
6.021000000000000085e+01,3.012985018061869634e-04
6.021999999999999886e+01,3.009672085512604288e-04
6.022999999999999687e+01,2.995178029350689230e-04
6.024000000000000199e+01,2.985071756780798783e-04
6.025000000000000000e+01,2.979018052632317393e-04
6.025999999999999801e+01,2.972502752366315971e-04
6.027000000000000313e+01,2.971410029254415255e-04
6.028000000000000114e+01,2.975915083625861211e-04
6.028999999999999915e+01,2.973843800579507521e-04
6.029999999999999716e+01,2.979418929766243659e-04
6.031000000000000227e+01,3.005181764044158668e-04
6.032000000000000028e+01,3.019190128365801000e-04
6.032999999999999829e+01,3.010883134555963599e-04
6.034000000000000341e+01,3.010044561405555096e-04
6.035000000000000142e+01,3.018847501569814937e-04
6.035999999999999943e+01,3.020448256924152756e-04
6.036999999999999744e+01,3.017579349900192639e-04
6.038000000000000256e+01,3.024788166993059614e-04
6.039000000000000057e+01,3.050522382382016740e-04
6.039999999999999858e+01,3.073893002295883495e-04
6.040999999999999659e+01,3.070227033184930740e-04
6.042000000000000171e+01,3.052062962089852689e-04
6.042999999999999972e+01,3.031257389549159298e-04
6.043999999999999773e+01,3.009508414915050816e-04
6.045000000000000284e+01,3.001760944173137912e-04
6.046000000000000085e+01,2.994815308821350067e-04
6.046999999999999886e+01,2.972112160039875077e-04
6.047999999999999687e+01,2.966017181082639489e-04
6.049000000000000199e+01,2.980583397807946714e-04
6.050000000000000000e+01,2.981356378949768485e-04
6.050999999999999801e+01,2.982241394014787869e-04
6.052000000000000313e+01,3.000788169843707893e-04
6.053000000000000114e+01,3.011308698373642853e-04
6.053999999999999915e+01,3.009342706242174688e-04
6.054999999999999716e+01,3.013864079715581788e-04
6.056000000000000227e+01,3.027966485318968923e-04
6.057000000000000028e+01,3.045556231964458103e-04
6.057999999999999829e+01,3.051849974843679012e-04
6.059000000000000341e+01,3.036422173497518753e-04
6.060000000000000142e+01,3.016493999550816656e-04
6.060999999999999943e+01,3.008780744317384706e-04
6.061999999999999744e+01,2.999416020958639096e-04
6.063000000000000256e+01,2.977904974213610250e-04
6.064000000000000057e+01,2.973654979537640073e-04
6.064999999999999858e+01,3.003409857560153493e-04
6.065999999999999659e+01,3.022241765323922997e-04
6.067000000000000171e+01,3.006659481412469201e-04
6.067999999999999972e+01,3.001469098685816779e-04
6.068999999999999773e+01,3.021529434668107834e-04
6.070000000000000284e+01,3.030660266030527701e-04
6.071000000000000085e+01,3.019469102946466125e-04
6.071999999999999886e+01,3.004129766494891560e-04
6.072999999999999687e+01,2.996621704320788417e-04
6.074000000000000199e+01,3.001469428376698579e-04
6.075000000000000000e+01,3.008835192541791498e-04
6.075999999999999801e+01,3.018213423946732379e-04
