# time, time_amplitude
6.000000000000000000e+01,5.075554597231879319e-04
6.000999999999999801e+01,5.072081605079867706e-04
6.002000000000000313e+01,5.093637804993044913e-04
6.003000000000000114e+01,5.095967551537096017e-04
6.003999999999999915e+01,5.072271124672543281e-04
6.004999999999999716e+01,5.055511845512036632e-04
6.006000000000000227e+01,5.039637445659111634e-04
6.007000000000000028e+01,5.014168312592764444e-04
6.007999999999999829e+01,5.004790778536327917e-04
6.009000000000000341e+01,5.009574083987129679e-04
6.010000000000000142e+01,4.989311013953237617e-04
6.010999999999999943e+01,4.943415263468833171e-04
6.011999999999999744e+01,4.903091114888737676e-04
6.013000000000000256e+01,4.878334175536533997e-04
6.014000000000000057e+01,4.871520848425267493e-04
6.014999999999999858e+01,4.873617777219985212e-04
6.015999999999999659e+01,4.855486334537931431e-04
6.017000000000000171e+01,4.830389619884934002e-04
6.017999999999999972e+01,4.838855053607742573e-04
6.018999999999999773e+01,4.861579974324365858e-04
6.020000000000000284e+01,4.865729052885754431e-04
6.021000000000000085e+01,4.866808900664532892e-04
6.021999999999999886e+01,4.866910009943716106e-04
6.022999999999999687e+01,4.848329882735439829e-04
6.024000000000000199e+01,4.822535981119203756e-04
6.025000000000000000e+01,4.799309330141344251e-04
6.025999999999999801e+01,4.783387554393103095e-04
6.027000000000000313e+01,4.799470106843073793e-04
6.028000000000000114e+01,4.833375330929163519e-04
6.028999999999999915e+01,4.836139191200306063e-04
6.029999999999999716e+01,4.821711967624345676e-04
6.031000000000000227e+01,4.832130627216936394e-04
6.032000000000000028e+01,4.846502394336048769e-04
6.032999999999999829e+01,4.842942629417516733e-04
6.034000000000000341e+01,4.850292624728811514e-04
6.035000000000000142e+01,4.861770246583435270e-04
6.035999999999999943e+01,4.832890123827056740e-04
6.036999999999999744e+01,4.799189749801143520e-04
6.038000000000000256e+01,4.838414253197833984e-04
6.039000000000000057e+01,4.913363231640738293e-04
6.039999999999999858e+01,4.923080888284554453e-04
6.040999999999999659e+01,4.874993234705429562e-04
6.042000000000000171e+01,4.844698354605893407e-04
6.042999999999999972e+01,4.848416830155269103e-04
6.043999999999999773e+01,4.867986499231514671e-04
6.045000000000000284e+01,4.888411654519040804e-04
6.046000000000000085e+01,4.887524157444090179e-04
6.046999999999999886e+01,4.880463378250838344e-04
6.047999999999999687e+01,4.898710014307264271e-04
6.049000000000000199e+01,4.912461295879466889e-04
6.050000000000000000e+01,4.900756569086760824e-04
6.050999999999999801e+01,4.909115918052582442e-04
6.052000000000000313e+01,4.937502023366499787e-04
6.053000000000000114e+01,4.932441556941388923e-04
6.053999999999999915e+01,4.914602415571955657e-04
6.054999999999999716e+01,4.937776902565122524e-04
6.056000000000000227e+01,4.970520907609305610e-04
6.057000000000000028e+01,4.966651954150295110e-04
6.057999999999999829e+01,4.961526017404064475e-04
6.059000000000000341e+01,4.988545874383853345e-04
6.060000000000000142e+01,5.008901421187803233e-04
6.060999999999999943e+01,4.999303365115593872e-04
6.061999999999999744e+01,4.986930028477982004e-04
6.063000000000000256e+01,4.972309670953593960e-04
6.064000000000000057e+01,4.949062064375791973e-04
6.064999999999999858e+01,4.948792108060664401e-04
6.065999999999999659e+01,4.964236881911846628e-04
6.067000000000000171e+01,4.960571547445822172e-04
6.067999999999999972e+01,4.969556239597691487e-04
6.068999999999999773e+01,5.002778984021988068e-04
6.070000000000000284e+01,5.001727869508640735e-04
6.071000000000000085e+01,4.980616633055937742e-04
6.071999999999999886e+01,4.989506967909610423e-04
6.072999999999999687e+01,4.987774393493381048e-04
6.074000000000000199e+01,4.965765208808812711e-04
6.075000000000000000e+01,4.977269536628530985e-04
6.075999999999999801e+01,4.987862867101612325e-04
6.077000000000000313e+01,4.961426663099049094e-04
6.078000000000000114e+01,4.965723210679814752e-04
6.078999999999999915e+01,5.013505665549333008e-04
6.079999999999999716e+01,5.036463431229394128e-04
6.081000000000000227e+01,5.023446776239261008e-04
6.082000000000000028e+01,4.999534773967876039e-04
6.082999999999999829e+01,4.978427471105061324e-04
6.084000000000000341e+01,4.968821209251209677e-04
6.085000000000000142e+01,4.946062480455438223e-04
6.085999999999999943e+01,4.905848282538969631e-04
6.086999999999999744e+01,4.896795862492610762e-04
6.088000000000000256e+01,4.916036777202153043e-04
6.089000000000000057e+01,4.921870107616815263e-04
6.089999999999999858e+01,4.924633104351096432e-04
6.090999999999999659e+01,4.939697729963752693e-04
6.092000000000000171e+01,4.959843209960261871e-04
6.092999999999999972e+01,4.978667422646807297e-04
6.093999999999999773e+01,4.970457120891315795e-04
6.095000000000000284e+01,4.942463545098024248e-04
6.096000000000000085e+01,4.946267640658497241e-04
6.096999999999999886e+01,4.963294193611853151e-04
6.097999999999999687e+01,4.953879723549227268e-04
6.099000000000000199e+01,4.961961463883493226e-04
6.100000000000000000e+01,4.996193473056033049e-04
6.100999999999999801e+01,4.995090184163589100e-04
6.102000000000000313e+01,4.970588383250785017e-04
6.103000000000000114e+01,4.976281159220083882e-04
6.103999999999999915e+01,5.001397208750825310e-04
6.104999999999999716e+01,5.012772552639028481e-04
6.106000000000000227e+01,5.001189456123784644e-04
6.107000000000000028e+01,4.985187804821625008e-04
6.107999999999999829e+01,4.988069841530955737e-04
6.109000000000000341e+01,4.986286014096673845e-04
6.110000000000000142e+01,4.968935977572659819e-04
6.110999999999999943e+01,4.985963966366749149e-04
6.111999999999999744e+01,5.028701605052928554e-04
6.113000000000000256e+01,5.031907455970461652e-04
6.114000000000000057e+01,5.010529956600926621e-04
6.114999999999999858e+01,5.012577652352225889e-04
6.115999999999999659e+01,5.029646901921263832e-04
6.117000000000000171e+01,5.039432458946613725e-04
6.117999999999999972e+01,5.031320038732777769e-04
6.118999999999999773e+01,5.012586784638950682e-04
6.120000000000000284e+01,5.006202947459431618e-04
6.121000000000000085e+01,5.006972932394394924e-04
6.121999999999999886e+01,5.008675692509818563e-04
6.122999999999999687e+01,5.030601477310210450e-04
6.124000000000000199e+01,5.055502864703165537e-04
6.125000000000000000e+01,5.052296014112547242e-04
6.125999999999999801e+01,5.038149909412493023e-04
6.127000000000000313e+01,5.032133067278426368e-04
6.128000000000000114e+01,5.034105435130953494e-04
6.128999999999999915e+01,5.046335594782498527e-04
6.129999999999999716e+01,5.049645473203952760e-04
6.131000000000000227e+01,5.028812964730443010e-04
6.132000000000000028e+01,5.014992619157666127e-04
6.132999999999999829e+01,5.033005734113057787e-04
6.134000000000000341e+01,5.057543737739173852e-04
6.135000000000000142e+01,5.050483594418749391e-04
6.135999999999999943e+01,5.008709141536532138e-04
6.136999999999999744e+01,4.967060970417586053e-04
6.138000000000000256e+01,4.944027596890600458e-04
6.139000000000000057e+01,4.922764208404942221e-04
6.139999999999999858e+01,4.910673096083880600e-04
6.140999999999999659e+01,4.926149427788368207e-04
6.142000000000000171e+01,4.935936410718898704e-04
6.142999999999999972e+01,4.920003841689659860e-04
6.143999999999999773e+01,4.920909526393051547e-04
6.145000000000000284e+01,4.945142840065232031e-04
6.146000000000000085e+01,4.955783786866298961e-04
6.146999999999999886e+01,4.971030104946591111e-04
6.147999999999999687e+01,5.006746674384808917e-04
6.149000000000000199e+01,5.008667092914730881e-04
6.150000000000000000e+01,4.974067758065306042e-04
6.150999999999999801e+01,4.974346255407167136e-04
6.152000000000000313e+01,5.006948014181256427e-04
6.153000000000000114e+01,5.022436316709998853e-04
6.153999999999999915e+01,5.037748988103672981e-04
6.154999999999999716e+01,5.065698141936007858e-04
6.156000000000000227e+01,5.080002953141635191e-04
6.157000000000000028e+01,5.094240927054680514e-04
6.157999999999999829e+01,5.116231205224522653e-04
6.159000000000000341e+01,5.114639239025489540e-04
6.160000000000000142e+01,5.109758585521268458e-04
6.160999999999999943e+01,5.132038502090670480e-04
6.161999999999999744e+01,5.143987971258374547e-04
6.163000000000000256e+01,5.136038909611360948e-04
6.164000000000000057e+01,5.141980296100370773e-04
