Scher, Howie D; Delaney, Margaret Lois (2010): Nd isotope composition of fossil fish teeth of ODP Hole 119-738B.
PANGAEA, https://doi.org/10.1594/PANGAEA.780523, Supplement to: Scher, HD; Delaney, ML (2010): Breaking the glass
ceiling for high resolution Nd isotope records in early Cenozoic paleoceanography. Chemical Geology, 269(3-4), 329-338,
https://doi.org/10.1016/j.chemgeo.2009.10.007

Sample label	            Depth sed [m]	147Sm/144Nd

119-738B-3H-4,39-42	        18.39	0.132
119-738B-3H-4,48-50	        18.48	0.134
119-738B-3H-4,71-73	        18.71	0.137
119-738B-3H-4,71-73	        18.71	0.139
119-738B-3H-4,81-83	        18.81	0.136
119-738B-3H-4,128-129	    19.28	0.137
119-738B-3H-4,144-145	    19.44	0.135
119-738B-3H-5,1-2	        19.51	0.137
119-738B-3H-5,1-2	        19.51	0.134
119-738B-3H-5,5-6	        19.55	0.136
119-738B-3H-5,28-29	        19.78	0.132
119-738B-3H-5,56-58	        20.06	0.132
119-738B-3H-5,72-75 	    20.22	0.131
119-738B-3H-6,5-7	        21.05	0.133
119-738B-4H-1,50-52.5   	23.50	0.131
119-738B-4H-1,130.5-133	    24.31	0.126
119-738B-4H-2,23-25     	24.73	0.131
119-738B-4H-2,68-70     	25.18	0.127
119-738B-4H-2,113-115	    25.63	0.132
119-738B-4H-3,82-84	        26.82	0.127
119-738B-5H-1,52-54	        33.02	0.126
119-738B-5H-3,34-37     	35.84	0.127
119-738B-5H-7,36-40	        41.86	0.132
119-738B-9H-2,31-33	        72.31	0.123
119-738B-11H-4,82-84	    90.32	0.126
119-738B-11H-5,44-46	    91.44	0.126
119-738B-11H-6,2.5-4.5	    92.53	0.122
119-738B-11H-6,52-54	    93.02	0.125
119-738B-11H-6,67.5-69.5	93.18	0.130
119-738B-11H-6,146-148	    93.96	0.124
119-738B-11H-6,146-148	    93.96	0.124
119-738B-12H-1,144-146	    95.94	0.128
