track_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.315,1,-26.087,0,0,0,0,0,0,4000
75,0.0771,1,3,-16.54,0.0508,0.902,0.613,0.845,0.00001000000000000000,171.623,170000
52,0.0787,0.00017,7,-35.96,0.058,0.118,0.972,0.0793,0.0116,169.062,264154
34,0.0985,0.0958,1,-18.209,0.0364,0.721,0.853,0.0982,0.0276,87.92,233275
43,0.116,0.948,9,-4.6,0.359,0.0006,0.154,0.469,0.0396,172.052,310920
18,0.118,0.404,4,-16.686,0.0427,0.92,0.882,0.113,0.228,86.959,221192
56,0.13,0.991,11,-3.126,0.0604,0.00001,0.00412,0.225,0.505,185.364,191332
33,0.135,0.312,7,-11.607,0.0304,0.452,0.936,0.175,0.0827,173.782,253960
65,0.135,0.723,8,-22.636,0.107,0.00008,0.797,0.957,0.0159,141.159,222469
57,0.14,0.96,6,-14.325,0.0582,0.0511,0.00012,0.431,0.0223,139.784,129000
45,0.14,0.691,10,-5.524,0.0472,0.0255,0,0.11,0.155,178.912,218131
57,0.141,1,10,-14.729,0.117,0.594,0.994,0.571,0.00001000000000000000,102.045,241375
52,0.143,0.311,10,-14.221,0.031,0.812,0.36,0.606,0.0892,173.317,260493
0,0.147,0.204,2,-16.244,0.0515,0.786,0.0368,0.138,0.0781,180.856,439467
47,0.149,0.637,2,-7.033,0.0422,0.405,0.962,0.202,0.365,200.085,194747
39,0.15,0.7,7,-5.113,0.0359,0.0212,0.483,0.104,0.341,66.76,218293
77,0.153,0.138,6,-21.877,0.0503,0.837,0.55,0.254,0.0503,74.318,119410
34,0.155,0.646,0,-11.086,0.0541,0.208,0.00007,0.188,0.213,155.32,373853
39,0.155,0.938,10,-4.624,0.126,0.00543,0.00262,0.359,0.383,184.469,207600
39,0.155,0.938,10,-4.624,0.126,0.00543,0.00262,0.359,0.383,184.469,207600
51,0.157,0.987,9,-3.739,0.091,0.00001,0.0628,0.151,0.462,167.949,429199
71,0.157,0.523,5,-28.309,0.0666,0.0027,0.764,0.0936,0.0384,89.925,175314
49,0.16,0.615,0,-8.897,0.0358,0.689,0.861,0.153,0.302,77.393,336728
52,0.16,1,5,-16.449,0.0458,0.854,0.974,0.963,0.00001000000000000000,130.674,240000
61,0.162,0.867,0,-7.18,0.092,0.256,0.00003,0.682,0.499,174.851,505240
61,0.162,0.867,0,-7.18,0.092,0.256,0.00003,0.682,0.499,174.851,505240
29,0.162,0.915,2,-4.67,0.101,0.00008,0.00039,0.0821,0.386,180.189,317519
39,0.162,0.972,2,-4.422,0.0782,0.00692,0.0284,0.29,0.266,195.041,195692
39,0.162,0.972,2,-4.422,0.0782,0.00692,0.0284,0.29,0.266,195.041,195692
50,0.163,0.843,2,-4.175,0.0561,0.00107,0,0.279,0.616,167.872,189770
15,0.165,0.29,5,-9.881,0.0316,0.701,0.00113,0.286,0.241,174.61,179893
46,0.166,0.427,7,-11.818,0.0335,0.0364,0.124,0.0825,0.0623,174.859,368027
62,0.166,0.831,9,-8.469,0.0894,0.00061,0.846,0.811,0.281,167.518,269787
62,0.166,0.831,9,-8.469,0.0894,0.00061,0.846,0.811,0.281,167.518,269787
2,0.166,0.948,11,-8.503,0.0631,0.00374,0.0131,0.769,0.476,177.495,506160
62,0.166,0.716,5,-20.684,0.0583,0.146,0.994,0.416,0.00001000000000000000,61.616,152884
32,0.168,0.749,11,-5.675,0.0504,0.0748,0.00507,0.103,0.131,167.986,509240
25,0.168,0.326,5,-9.981,0.0324,0.721,0.00059999999999999995,0.316,0.322,174.794,182400
45,0.17,0.293,7,-15.308,0.0369,0.754,0.857,0.279,0.24,117.483,75333
56,0.172,0.655,11,-7.476,0.042,0.0971,0.128,0.195,0.221,78.653,285200
45,0.173,0.893,6,-5.53,0.163,0.00021,0.0214,0.102,0.36,84.985,242000
60,0.174,0.742,8,-5.93,0.0485,0.00181,0.281,0.198,0.36,163.378,223747
